Type,Price,Amount,Balance,BTC
Sell,39795000.0,0.00020044496294070963,10071343.788951939,0.00020044496294070963
Sell,39890000.0,0.00010022248147035481,10075339.664800398,0.00010022248147035481
Sell,39892000.0,5.011124073517741e-05,10077337.702896997,5.011124073517741e-05
Sell,39881000.0,2.5055620367588703e-05,10078336.44647128,2.5055620367588703e-05
Sell,39932000.0,1.2527810183794352e-05,10078836.45685728,1.2527810183794352e-05
Sell,39921000.0,6.263905091897176e-06,10079086.393181777,6.263905091897176e-06
Sell,39747000.0,3.131952545948588e-06,10079210.81665676,3.131952545948588e-06
Sell,39874000.0,1.565976272974294e-06,10079273.2271738,1.565976272974294e-06
Sell,39897000.0,7.82988136487147e-07,10079304.450432042,7.82988136487147e-07
Sell,39761000.0,3.914940682435735e-07,10079320.008844592,3.914940682435735e-07
Sell,39804000.0,1.9574703412178674e-07,10079327.79646378,1.9574703412178674e-07
Sell,39856000.0,9.787351706089337e-08,10079331.695360253,9.787351706089337e-08
Buy,38664000.0,0.00651400263368276,9827348.30583678,0.006514100507199821
Buy,38664000.0,0.00651400263368276,9575364.916313307,0.013028103140882583
Buy,38664000.0,0.00651400263368276,9323381.526789835,0.019542105774565343
Buy,38664000.0,0.00651400263368276,9071398.137266362,0.026056108408248103
Buy,38664000.0,0.00651400263368276,8819414.74774289,0.03257011104193086
Sell,39091000.0,0.01628505552096543,9455695.553560264,0.01628505552096543
Sell,39153000.0,0.008142527760482715,9774340.540771741,0.008142527760482715
Sell,39150000.0,0.0040712638802413575,9933650.826692734,0.0040712638802413575
Sell,39340000.0,0.0020356319401206788,10013692.546336818,0.0020356319401206788
Sell,39417000.0,0.0010178159700603394,10053791.738802642,0.0010178159700603394
Sell,39440000.0,0.0005089079850301697,10073853.034066767,0.0005089079850301697
Sell,39601000.0,0.00025445399251508485,10083924.628308078,0.00025445399251508485
Buy,38829000.0,0.006495685929887448,9831577.465755202,0.0067501399224025324
Buy,38755000.0,0.0065080889942355745,9579230.303202325,0.013258228916638106
Buy,38560000.0,0.006541000751338167,9326883.14064945,0.019799229667976273
Buy,38364000.0,0.006574418438421429,9074535.978096573,0.026373648106397703
Sell,38807000.0,0.013186824053198851,9586021.188588545,0.013186824053198851
Sell,38842000.0,0.006593412026599426,9841994.447870752,0.006593412026599426
Sell,38873000.0,0.003296706013299713,9970083.224299325,0.003296706013299713
Sell,38875000.0,0.0016483530066498564,10034130.907571271,0.0016483530066498564
Sell,39643000.0,0.0008241765033249282,10066787.40027802,0.0008241765033249282
Sell,39640000.0,0.0004120882516624641,10083114.410984773,0.0004120882516624641
Sell,39639000.0,0.00020604412583123205,10091277.710397046,0.00020604412583123205
Sell,39836000.0,0.00010302206291561603,10095379.645301903,0.00010302206291561603
Buy,39114000.0,0.00645189842458395,9842893.847423786,0.0065549204874995656
Buy,38889000.0,0.006489227158815516,9590408.04954567,0.01304414764631508
Sell,39047000.0,0.00652207382315754,9844948.132410215,0.00652207382315754
Sell,39049000.0,0.00326103691157877,9972224.692655275,0.00326103691157877
Sell,39236000.0,0.001630518455789385,10036167.727275562,0.001630518455789385
Sell,39495000.0,0.0008152592278946925,10068350.29114966,0.0008152592278946925
Sell,39544000.0,0.00040762961394734626,10084461.536950866,0.00040762961394734626
Sell,39547000.0,0.00020381480697367313,10092517.770990169,0.00020381480697367313
Sell,39638000.0,0.00010190740348683656,10096555.15694675,0.00010190740348683656
Sell,39660000.0,5.095370174341828e-05,10098574.970345989,5.095370174341828e-05
Sell,39672000.0,2.547685087170914e-05,10099585.182614958,2.547685087170914e-05
Buy,38189000.0,0.006608932474948164,9847070.402939325,0.006634409325819873
Buy,38189000.0,0.006608932474948164,9594555.623263692,0.013243341800768037
Buy,38189000.0,0.006608932474948164,9342040.84358806,0.019852274275716203
Buy,38189000.0,0.006608932474948164,9089526.063912427,0.026461206750664365
