Type,Price,Amount,Balance,BTC
Buy,30531000.0,0.008184304477416396,9750000.0,0.008184304477416396
Buy,30412000.0,0.008216329080626068,9500000.0,0.016400633558042464
Buy,30315000.0,0.008242619165429656,9250000.0,0.02464325272347212
Buy,30130000.0,0.008293229339528708,9000000.0,0.03293648206300083
Buy,30000000.0,0.008329166666666667,8750000.0,0.041265648729667495
Buy,29832000.0,0.008376072673639046,8500000.0,0.04964172140330654
Buy,29701000.0,0.00841301639675432,8250000.0,0.05805473780006086
Buy,29502000.0,0.00846976476171107,8000000.0,0.06652450256177193
Buy,29197000.0,0.008558242285166285,7750000.0,0.07508274484693822
Buy,29197000.0,0.008558242285166285,7500000.0,0.08364098713210451
Buy,28955000.0,0.008579990280906068,7251442.102467598,0.09222097741301058
Buy,28834000.0,0.008615995650400055,7002884.204935197,0.10083697306341063
Buy,28635000.0,0.008675872833372976,6754326.307402795,0.10951284589678362
Buy,28535000.0,0.008706277153798323,6505768.409870394,0.11821912305058194
Buy,28467000.0,0.008727074106285706,6257210.512337992,0.12694619715686764
Buy,28315000.0,0.008773922605814416,6008652.61480559,0.13572011976268206
Buy,28139000.0,0.008828800546701559,5760094.717273189,0.14454892030938363
Buy,27988000.0,0.008876433420881635,5511536.819740787,0.15342535373026525
Buy,27832000.0,0.008926186353249325,5262978.922208386,0.16235154008351457
Buy,27677000.0,0.00897617583494003,5014421.024675984,0.1713277159184546
Buy,27381000.0,0.008879184079263542,4771178.464121392,0.18020689999771816
Buy,27244000.0,0.008923834212094958,4527935.9035668,0.18913073420981313
Buy,27097000.0,0.008972245609267264,4284693.343012208,0.1981029798190804
Buy,26926000.0,0.009029225999937423,4041450.7824576157,0.2071322058190178
Buy,26818000.0,0.00906558801082538,3798208.2219030233,0.2161977938298432
Buy,26653000.0,0.00912171009921266,3554965.661348431,0.22531950392905586
Buy,26501000.0,0.009174028877186335,3311723.1007938385,0.2344935328062422
Buy,26370000.0,0.009219603309606183,3068480.540239246,0.24371313611584838
Buy,26276000.0,0.009252585601853974,2825237.9796846537,0.2529657217177024
Buy,26137000.0,0.009301792067732144,2581995.4191300613,0.2622675137854345
Buy,25879000.0,0.009093053145508309,2346558.578357065,0.2713605669309428
Buy,25800000.0,0.009120896215217424,2111121.737584069,0.28048146314616024
Buy,25666000.0,0.009168515637520826,1875684.896811073,0.28964997878368104
Buy,25511000.0,0.009224221800502117,1640248.056038077,0.2988742005841832
Buy,25373000.0,0.009274390980672745,1404811.215265081,0.3081485915648559
Buy,25264000.0,0.009314404779631474,1169374.374492085,0.3174629963444874
Buy,25132000.0,0.009363326530025844,933937.5337190891,0.32682632287451324
Buy,25011000.0,0.009408625099060795,698500.6929460932,0.33623494797357406
Buy,24840000.0,0.009473394619670271,463063.85217309714,0.34570834259324434
Buy,24745000.0,0.009509764491921986,227627.01140010112,0.3552181070851663
Buy,24573000.0,0.009169726916990301,2186.5916590279085,0.36438783400215663
Sell,25368000.0,0.03643878340021566,926103.4594270505,0.32794905060194096
