Type,Price,Amount,Balance,BTC
Buy,37050000.0,0.0067442645074224025,9750000.0,0.0067442645074224025
Buy,36802000.0,0.006789712515624151,9500000.0,0.013533977023046553
Buy,36690000.0,0.006810438811665304,9250000.0,0.020344415834711856
Buy,36485000.0,0.006848704947238592,9000000.0,0.02719312078195045
Buy,36310000.0,0.006881713026714404,8750000.0,0.034074833808664856
Sell,36604000.0,0.0034074833808664857,8874665.1579124,0.03066735042779837
Sell,36900000.0,0.0034074833808664857,9000338.426597996,0.027259867046931882
Sell,37009000.0,0.0034074833808664857,9126382.925264262,0.023852383666065395
Sell,37150000.0,0.0034074833808664857,9252907.638859652,0.020444900285198908
Sell,37840000.0,0.0034074833808664857,9381782.340406073,0.01703741690433242
Sell,38075000.0,0.0017037416904332422,9446619.870286888,0.01533367521389918
Sell,38297000.0,0.0017037416904332422,9511835.44170765,0.013629933523465938
Sell,38424000.0,0.0017037416904332422,9577267.280135501,0.011926191833032696
Sell,38688000.0,0.0017037416904332422,9643148.681475723,0.010222450142599454
Sell,38966000.0,0.0017037416904332422,9709503.486185791,0.008518708452166212
Sell,39252000.0,0.0008518708452166212,9742924.401785025,0.007666837606949591
Sell,39514000.0,0.0008518708452166212,9776568.395950627,0.0068149667617329705
Sell,39627000.0,0.0008518708452166212,9810308.603391035,0.00596309591651635
Sell,39800000.0,0.0008518708452166212,9844196.110800836,0.005111225071299729
Sell,39988000.0,0.0008518708452166212,9878243.68985368,0.004259354226083108
Sell,40508000.0,0.00042593542260831077,9895488.855056647,0.003833418803474797
Sell,40508000.0,0.00042593542260831077,9912734.020259615,0.003407483380866486
Sell,40700000.0,0.00042593542260831077,9930060.924173923,0.0029815479582581753
Sell,40789000.0,0.00042593542260831077,9947425.717386717,0.0025556125356498644
Sell,41100000.0,0.00042593542260831077,9964922.910282984,0.0021296771130415535
Sell,41383000.0,0.00021296771130415536,9973731.746458486,0.001916709401737398
Sell,41586000.0,0.00021296771130415536,9982583.79346316,0.0017037416904332426
Sell,45717000.0,0.00021296771130415536,9992315.170198422,0.0014907739791290872
Sell,45717000.0,0.00021296771130415536,10002046.546933684,0.0012778062678249318
Sell,45717000.0,0.00021296771130415536,10011777.923668947,0.0010648385565207763
Sell,46002000.0,0.00010648385565207764,10016673.94476149,0.0009583547008686987
Sell,46231000.0,0.00010648385565207764,10021594.338464577,0.0008518708452166211
Sell,46443000.0,0.00010648385565207764,10026537.295457773,0.0007453869895645435
Sell,46820000.0,0.00010648385565207764,10031520.376792341,0.0006389031339124659
Sell,46946000.0,0.00010648385565207764,10036516.86838424,0.0005324192782603883
Buy,45210000.0,0.005560574819595462,9784997.521116696,0.00609299409785585
Buy,44997000.0,0.00558689662852881,9533478.173849152,0.011679890726384659
Buy,44800000.0,0.005611464008792652,9281958.826581609,0.01729135473517731
Buy,44617000.0,0.005634479852834364,9030439.479314065,0.022925834588011673
Buy,44090000.0,0.005701827797548443,8778920.13204652,0.028627662385560117
Buy,43800000.0,0.005728435448936272,8527889.143889032,0.03435609783449639
Buy,43402000.0,0.005780965685070014,8276858.155731545,0.040137063519566404
Buy,43402000.0,0.005780965685070014,8025827.167574057,0.04591802920463642
Buy,43104000.0,0.005820932457855622,7774796.17941657,0.05173896166249204
Buy,42889000.0,0.005850112445228584,7523765.191259082,0.05758907410772063
Buy,41998000.0,0.00592438968719929,7274828.204682798,0.06351346379491991
Buy,41833000.0,0.0059477569880954225,7025891.218106514,0.06946122078301534
Buy,41613000.0,0.005979201645711575,6776954.23153023,0.07544042242872691
